Fecha,Personas_1_Vacuna,Personas_2_Dosis,Personas_3_Dosis
2022-06-16,88207004,79947470,53077125
2022-06-17,88302201,79947470,53110007
2022-06-18,88302201,79947470,53110007
2022-06-19,88302201,79947470,53110007
2022-06-20,88302201,79947470,53110007
2022-06-21,88302201,79947470,53110007
2022-06-22,88302201,79947470,53110007
2022-06-23,88302201,79947470,53110007
2022-06-24,88336802,79947470,53157386
2022-06-25,88336802,79947470,53157386
2022-06-26,88336802,79947470,53157386
2022-06-27,88336802,79947470,53157386
2022-06-28,88336802,79947470,53157386
2022-06-29,88336802,79947470,53157386
2022-06-30,88336802,79947470,53157386
2022-07-01,88336802,79947470,53157386
2022-07-02,88336802,79947470,53157386
2022-07-03,88336802,79947470,53157386
2022-07-04,88336802,79947470,53157386
2022-07-05,88336802,79947470,53157386
2022-07-06,88336802,79947470,53157386
2022-07-07,88336802,79947470,53157386
2022-07-08,90320224,79947470,56611084
2022-07-09,90320224,79947470,56611084
2022-07-10,90320224,79947470,56611084
2022-07-11,90320224,79947470,56611084
2022-07-12,90320224,79947470,56611084
2022-07-13,90320224,79947470,56611084
2022-07-14,90320224,79947470,56611084
2022-07-15,90320224,79947470,56611084
2022-07-16,90320224,79947470,56611084
2022-07-17,90320224,79947470,56611084
2022-07-18,90320224,79947470,56611084
2022-07-19,90320224,79947470,56611084
2022-07-20,90320224,79947470,56611084
2022-07-21,90320224,79947470,56611084
2022-07-22,92333818,79947470,56677145
2022-07-23,92333818,79947470,56677145
2022-07-24,92333818,79947470,56677145
2022-07-25,92333818,79947470,56677145
2022-07-26,92333818,79947470,56677145
2022-07-27,92333818,79947470,56677145
2022-07-28,92333818,79947470,56677145
2022-07-29,92333818,79947470,56677145
2022-07-30,92333818,79947470,56677145
2022-07-31,92333818,79947470,56677145
2022-08-01,92333818,79947470,56677145
2022-08-02,92333818,79947470,56677145
2022-08-03,92333818,79947470,56677145
2022-08-04,92333818,79947470,56677145
2022-08-05,94045513,79947470,56771604
2022-08-06,94045513,79947470,56771604
2022-08-07,94045513,79947470,56771604
2022-08-08,94045513,79947470,56771604
2022-08-09,94045513,79947470,56771604
2022-08-10,94045513,79947470,56771604
2022-08-11,94045513,79947470,56771604
2022-08-12,94736020,79947470,56800006
2022-08-13,94736020,79947470,56800006
2022-08-14,94736020,79947470,56800006
2022-08-15,94736020,79947470,56800006
2022-08-16,94736020,79947470,56800006
2022-08-17,94736020,79947470,56800006
2022-08-18,94736020,79947470,56800006
2022-08-19,95128554,79947470,56898775
2022-08-20,95128554,79947470,56898775
2022-08-21,95128554,79947470,56898775
2022-08-22,95128554,79947470,56898775
2022-08-23,95128554,79947470,56898775
2022-08-24,95128554,79947470,56898775
2022-08-25,95128554,79947470,56898775
2022-08-26,96023760,79947470,56938756
2022-08-27,96023760,79947470,56938756
2022-08-28,96023760,79947470,56938756
2022-08-29,96023760,79947470,56938756
2022-08-30,96023760,79947470,56938756
2022-08-31,96023760,79947470,56938756
2022-09-01,96023760,79947470,56938756
2022-09-02,96372242,79947470,56968034
2022-09-03,96372242,79947470,56968034
2022-09-04,96372242,79947470,56968034
2022-09-05,96372242,79947470,56968034
2022-09-06,96372242,79947470,56968034
2022-09-07,96372242,79947470,56968034
2022-09-08,96372242,79947470,56968034
2022-09-09,96372242,79947470,56968034
2022-09-10,96372242,79947470,56968034
2022-09-11,96372242,79947470,56968034
2022-09-12,96372242,79947470,56968034
2022-09-13,96372242,79947470,56968034
2022-09-14,96372242,79947470,56968034
2022-09-15,96372242,79947470,56968034
2022-09-16,97018292,79947470,57014052
2022-09-17,97018292,79947470,57014052
2022-09-18,97018292,79947470,57014052
2022-09-19,97018292,79947470,57014052
2022-09-20,97018292,79947470,57014052
2022-09-21,97018292,79947470,57014052
2022-09-22,97018292,79947470,57014052
2022-09-23,97018292,79947470,57014052
2022-09-24,97018292,79947470,57014052
2022-09-25,97018292,79947470,57014052
2022-09-26,97018292,79947470,57014052
2022-09-27,97018292,79947470,57014052
2022-09-28,97018292,79947470,57014052
2022-09-29,97018292,79947470,57014052
2022-09-30,97018292,79947470,57014052
2022-10-01,97018292,79947470,57014052
2022-10-02,97018292,79947470,57014052
2022-10-03,97018292,79947470,57014052
2022-10-04,97018292,79947470,57014052
2022-10-05,97018292,79947470,57014052
2022-10-06,97018292,79947470,57014052
2022-10-07,97179493,81849962,57014052
2022-10-08,97179493,81849962,57014052
2022-10-09,97179493,81849962,57014052
2022-10-10,97179493,81849962,57014052
2022-10-11,97179493,81849962,57014052
2022-10-12,97179493,81849962,57014052
2022-10-13,97179493,81849962,57014052
2022-10-14,97179493,81849962,57014052
2022-10-15,97179493,81849962,57014052
2022-10-16,97179493,81849962,57014052
2022-10-17,97179493,81849962,57014052
2022-10-18,97179493,81849962,57014052
2022-10-19,97179493,81849962,57014052
2022-10-20,97179493,81849962,57014052
2022-10-21,97179493,81849962,57014052
2022-10-22,97179493,81849962,57014052
2022-10-23,97179493,81849962,57014052
2022-10-24,97179493,81849962,57014052
2022-10-25,97179493,81849962,57014052
2022-10-26,97179493,81849962,57014052
2022-10-27,97179493,81849962,57014052
2022-10-28,97179493,81849962,57014052
2022-10-29,97179493,81849962,57014052
2022-10-30,97179493,81849962,57014052
2022-10-31,97179493,81849962,57014052
